Temperature, Time
74.80,0.0000000000
74.80,0.0030000000
74.80,0.0049999995
74.80,0.0139999998
74.80,0.0350000000
74.83,0.0559999990
74.83,0.0759999990
74.83,0.0979999923
74.83,0.1180000066
74.83,0.1389999980
75.09,0.1599999904
75.09,0.1809999942
75.09,0.2009999990
75.09,0.2230000019
75.09,0.2430000066
75.66,0.2639999866
75.66,0.2840000152
75.66,0.3059999942
75.66,0.3259999990
76.42,0.3470000028
76.42,0.3680000066
76.42,0.3889999866
76.42,0.4090000152
76.42,0.4309999942
78.22,0.4510000228
78.22,0.4720000267
78.22,0.4929999828
78.22,0.5139999866
78.22,0.5339999675
80.27,0.5559999942
80.27,0.5759999752
80.27,0.5960000038
80.27,0.6170000076
83.26,0.6380000114
83.26,0.6589999675
83.26,0.6789999961
83.26,0.7009999752
83.26,0.7210000038
87.80,0.7420000076
87.80,0.7630000114
87.80,0.7839999675
87.80,0.8039999961
93.45,0.8260000228
93.45,0.8460000038
93.45,0.8670000076
93.45,0.8880000114
93.45,0.9090000152
98.45,0.9289999961
98.45,0.9500000000
98.45,0.9710000038
98.45,0.9920000076
98.45,1.0119999647
101.62,1.0340000391
101.62,1.0549999475
101.62,1.0770000219
101.62,1.0989999771
103.28,1.1210000514
103.28,1.1419999599
103.28,1.1649999618
103.28,1.1859999847
103.28,1.2079999446
103.96,1.2300000190
103.96,1.2519999742
103.96,1.2730000019
103.96,1.2960000038
104.82,1.3170000314
104.82,1.3389999866
104.82,1.3609999418
104.82,1.3830000114
104.82,1.4040000438
104.79,1.4270000457
104.79,1.4479999542
104.79,1.4700000286
104.79,1.4920000076
105.58,1.5140000343
105.58,1.5360000133
105.58,1.5579999923
105.58,1.5800000190
105.58,1.6009999275
105.87,1.6239999771
105.87,1.6449999809
105.87,1.6670000553
105.87,1.6890000343
105.69,1.7109999656
105.69,1.7319999694
105.69,1.7550000190
105.69,1.7760000228
105.61,1.7979999542
105.61,1.8200000762
105.61,1.8420000076
105.61,1.8630000114
105.61,1.8860000610
104.97,1.9069999694
104.97,1.9289999961
104.97,1.9500000000
104.97,1.9730000495
105.29,1.9939999580
105.29,2.0160000324
105.29,2.0380001068
105.29,2.0599999427
105.29,2.0810000896
105.72,2.1040000915
105.72,2.1250000000
105.72,2.1470000743
105.72,2.1689999103
105.54,2.1909999847
105.54,2.2119998931
105.54,2.2349998950
105.54,2.2560000419
105.54,2.2780001163
105.40,2.2999999523
105.40,2.3220000267
105.40,2.3429999351
105.40,2.3659999370
105.47,2.3870000839
105.47,2.4089999198
105.47,2.4319999217
105.47,2.4530000686
105.47,2.4749999046
105.90,2.4969999790
105.90,2.5190000534
105.90,2.5399999618
105.90,2.5629999637
106.51,2.5840001106
106.51,2.6059999465
106.51,2.6280000209
106.51,2.6500000953
107.34,2.6710000038
107.34,2.6940000057
107.34,2.7149999141
107.34,2.7369999885
107.34,2.7590000629
107.63,2.7809998989
107.63,2.8020000457
107.63,2.8250000000
107.63,2.8459999084
107.63,2.8680000305
107.63,2.8900001525
107.63,2.9119998931
107.63,2.9330000877
107.63,2.9560001373
107.23,2.9770000457
107.23,2.9990000724
107.23,3.0209999084
107.23,3.0429999828
106.73,3.0639998912
106.73,3.0869998931
106.73,3.1080000400
106.73,3.1300001144
106.73,3.1519999504
106.70,3.1740000247
106.70,3.1949999332
106.70,3.2179999351
106.70,3.2390000820
106.91,3.2609999179
106.91,3.2829999923
106.91,3.3050000667
106.91,3.3259999752
106.91,3.3480000495
107.23,3.3710000514
107.23,3.3919999599
