Temperature, Time
75.01,0.0000000000
75.01,0.0030000000
75.01,0.0049999995
75.01,0.0139999998
74.94,0.0350000000
74.94,0.0559999990
74.94,0.0759999990
74.94,0.0979999923
74.94,0.1180000066
74.91,0.1389999980
74.91,0.1599999904
74.91,0.1809999942
74.91,0.2009999990
74.91,0.2230000019
74.91,0.2430000066
74.91,0.2639999866
74.91,0.2840000152
74.91,0.3059999942
74.91,0.3259999990
74.91,0.3470000028
74.91,0.3680000066
74.91,0.3889999866
74.91,0.4090000152
74.73,0.4309999942
74.73,0.4510000228
74.73,0.4720000267
74.73,0.4929999828
74.73,0.5139999866
74.91,0.5339999675
74.91,0.5559999942
74.91,0.5759999752
74.91,0.5960000038
75.01,0.6170000076
75.01,0.6380000114
75.01,0.6589999675
75.01,0.6789999961
75.01,0.7009999752
75.09,0.7210000038
75.09,0.7420000076
75.09,0.7630000114
75.09,0.7839999675
75.09,0.8039999961
75.09,0.8260000228
75.09,0.8460000038
75.09,0.8670000076
75.09,0.8880000114
75.34,0.9090000152
75.34,0.9289999961
75.34,0.9500000000
75.34,0.9710000038
75.34,0.9920000076
75.52,1.0119999647
75.52,1.0340000391
75.52,1.0540000200
75.52,1.0750000476
75.52,1.0959999561
75.95,1.1169999837
75.95,1.1369999647
75.95,1.1590000391
75.95,1.1790000200
76.49,1.2000000476
76.49,1.2209999561
76.49,1.2419999837
76.49,1.2619999647
76.49,1.2829999923
77.07,1.3040000200
77.07,1.3250000476
77.07,1.3450000286
77.07,1.3669999837
77.07,1.3869999694
77.79,1.4079999923
77.79,1.4289999961
77.79,1.4489999771
77.79,1.4700000286
78.80,1.4910000801
78.80,1.5119999885
78.80,1.5319999694
78.80,1.5539999961
78.80,1.5739999771
79.95,1.5950000286
79.95,1.6150000095
79.95,1.6369999885
79.95,1.6569999694
79.95,1.6779999732
81.71,1.6989999771
81.71,1.7200000286
81.71,1.7400000095
81.71,1.7619999885
84.09,1.7819999694
84.09,1.8029999732
84.09,1.8239999771
84.09,1.8450000762
84.09,1.8649999618
87.65,1.8869999885
87.65,1.9069999694
87.65,1.9279999732
87.65,1.9479999542
91.14,1.9700000762
91.14,1.9899999618
91.14,2.0109999179
91.14,2.0320000648
91.14,2.0529999732
91.86,2.0729999542
91.86,2.0950000286
91.86,2.1150000095
91.86,2.1359999179
91.86,2.1570000648
89.41,2.1779999732
89.41,2.1979999542
89.41,2.2200000286
89.41,2.2400000095
85.71,2.2599999904
85.71,2.2809998989
85.71,2.3020000457
85.71,2.3229999542
85.71,2.3429999351
83.08,2.3650000095
83.08,2.3849999904
83.08,2.4059998989
83.08,2.4270000457
83.08,2.4479999542
81.28,2.4679999351
81.28,2.4900000095
81.28,2.5099999904
81.28,2.5309998989
79.84,2.5520000457
79.84,2.5729999542
79.84,2.5929999351
79.84,2.6140000820
79.84,2.6349999904
78.90,2.6559998989
78.90,2.6760001182
78.90,2.6979999542
78.90,2.7179999351
78.90,2.7390000820
78.11,2.7599999904
78.11,2.7809998989
78.11,2.8010001182
78.11,2.8229999542
77.57,2.8429999351
77.57,2.8640001296
77.57,2.8850000381
77.57,2.9059999465
77.57,2.9260001182
77.35,2.9470000267
77.35,2.9679999351
77.35,2.9890001296
77.35,3.0090000629
77.35,3.0309998989
77.03,3.0510001182
77.03,3.0720000267
77.03,3.0929999351
77.03,3.1129999160
77.68,3.1340000629
77.68,3.1549999713
77.68,3.1760001182
77.68,3.1960000991
77.68,3.2179999351
78.61,3.2379999160
78.61,3.2590000629
78.61,3.2790000438
78.61,3.3010001182
78.61,3.3210000991
78.51,3.3420000076
78.51,3.3629999160
78.51,3.3840000629
78.51,3.4040000438
75.99,3.4260001182
75.99,3.4460000991
75.99,3.4670000076
75.99,3.4879999160
75.99,3.5090000629
74.51,3.5290000438
74.51,3.5510001182
74.51,3.5710000991
74.51,3.5920000076
74.51,3.6119999885
74.15,3.6340000629
74.15,3.6540000438
74.15,3.6749999523
74.15,3.6960000991
73.86,3.7170000076
73.86,3.7369999885
73.86,3.7590000629
73.86,3.7790000438
73.86,3.7999999523
73.83,3.8210000991
73.83,3.8420000076
73.83,3.8619999885
73.83,3.8840000152
73.83,3.9040000915
73.65,3.9239999771
73.65,3.9449998855
73.65,3.9660000801
73.65,3.9869999885
73.43,4.0069999694
73.43,4.0289998054
73.43,4.0489997863
73.43,4.0700001716
73.43,4.0910000801
73.43,4.1119999885
73.43,4.1319999694
73.43,4.1539998054
73.43,4.1739997863
73.43,4.1950001716
73.47,4.2160000801
