Temperature, Time
75.73,0.0000000000
75.73,0.0120000004
75.73,0.0240000009
75.73,0.0370000004
75.73,0.0500000000
75.99,0.0659999942
75.99,0.0869999980
75.99,0.1070000052
75.99,0.1289999961
75.99,0.1490000009
76.31,0.1690000057
76.31,0.1909999942
76.31,0.2109999895
76.31,0.2319999933
77.28,0.2529999971
77.28,0.2739999771
77.28,0.2940000057
77.28,0.3160000085
77.28,0.3359999895
78.94,0.3569999933
78.94,0.3769999980
78.94,0.3989999771
78.94,0.4190000057
80.13,0.4400000095
80.13,0.4610000133
80.13,0.4819999694
80.13,0.5019999504
80.13,0.5239999771
77.57,0.5440000534
77.57,0.5650000095
77.57,0.5860000133
77.57,0.6069999694
77.57,0.6269999504
75.77,0.6489999771
75.77,0.6690000534
75.77,0.6900000095
75.77,0.7099999904
75.66,0.7319999694
75.66,0.7519999504
75.66,0.7730000019
75.66,0.7940000534
75.66,0.8149999618
75.55,0.8349999427
75.55,0.8569999694
75.55,0.8769999504
75.55,0.8979999542
75.55,0.9190000534
75.52,0.9399999618
75.52,0.9599999427
75.52,0.9819999694
75.52,1.0019999742
75.52,1.0219999551
75.52,1.0429999828
75.52,1.0640000104
75.52,1.0850000381
75.52,1.1050000190
75.84,1.1269999742
75.84,1.1469999551
75.84,1.1679999828
75.84,1.1890000152
75.84,1.2100000381
75.52,1.2300000190
75.52,1.2519999742
75.52,1.2719999551
75.52,1.2929999828
75.41,1.3140000104
75.41,1.3350000381
75.41,1.3550000190
75.41,1.3760000467
75.41,1.3969999504
75.52,1.4179999828
75.52,1.4379999637
75.52,1.4600000381
75.52,1.4800000190
75.52,1.5010000228
75.45,1.5219999313
75.45,1.5429999828
75.45,1.5629999637
75.45,1.5850000381
75.45,1.6050000190
75.45,1.6260000228
75.45,1.6469999313
75.45,1.6679999828
75.45,1.6879999637
75.30,1.7090000152
75.30,1.7300000190
75.30,1.7510000228
75.30,1.7710000038
75.30,1.7929999828
75.52,1.8129999160
75.52,1.8329999923
75.52,1.8550000190
75.52,1.8750000000
75.55,1.8960000038
75.55,1.9170000076
75.55,1.9379999160
75.55,1.9579999923
75.55,1.9800000190
75.73,2.0000000000
75.73,2.0209999084
75.73,2.0409998893
75.73,2.0629999637
75.73,2.0829999446
75.88,2.1040000915
75.88,2.1250000000
75.88,2.1459999084
75.88,2.1659998893
76.10,2.1879999637
76.10,2.2079999446
76.10,2.2290
